,駒姫,,北海道・東北,山形,不明,進化Lv1,レア
,冬姫,,中部,岐阜,不明,進化Lv1,レア
,千姫,,近畿,京都,不明,進化Lv1,レア
,妙玖,,中部,広島,不明,進化Lv1,レア
,柳川雛祭り水上パレード,,九州・沖縄,九州・沖縄,不明,進化Lv1,レア
,貝喰池の竜神,,北海道・東北,山形,不明,進化Lv1,レア
,美女杉,,中部,富山,不明,進化Lv1,レア
,夜なきうどん,,中国・四国,高知,不明,進化Lv1,レア
ill_81_ononokomachi01,小野小町,おののこまち,北海道・東北,北海道・東北,偉人,進化Lv1,レア
ill_82_ononokomachi02,小野小町,おののこまち,北海道・東北,北海道・東北,偉人,進化Lv2,レア
ill_83_ononokomachi03,小野小町,おののこまち,北海道・東北,北海道・東北,偉人,進化Lv3,レア
ill_121_iwakoshinpu01,イワコシンプ,いわこしんぷ,北海道・東北,北海道,神秘,進化Lv1,レア
ill_122_iwakoshinpu02,イワコシンプ,いわこしんぷ,北海道・東北,北海道,神秘,進化Lv2,レア
ill_123_iwakoshinpu03,イワコシンプ,いわこしんぷ,北海道・東北,北海道,神秘,進化Lv3,レア
ill_221_merosu01,メロス,めろす,無所属,無所属,伝承,進化Lv1,レア
ill_222_merosu02,メロス,めろす,無所属,無所属,伝承,進化Lv2,レア
ill_223_merosu03,メロス,めろす,無所属,無所属,伝承,進化Lv3,レア
ill_251_ishikawatakuboku01,石川啄木,いしかわたくぼく,北海道・東北,岩手,知性派,進化Lv1,レア
ill_252_ishikawatakuboku02,石川啄木,いしかわたくぼく,北海道・東北,岩手,知性派,進化Lv2,レア
ill_253_ishikawatakuboku03,石川啄木,いしかわたくぼく,北海道・東北,岩手,知性派,進化Lv3,レア
ill_271_miyazawakenji01,宮沢賢治,みやざわけんじ,北海道・東北,岩手,知性派,進化Lv1,レア
ill_272_miyazawakenji02,宮沢賢治,みやざわけんじ,北海道・東北,岩手,知性派,進化Lv2,レア
ill_273_miyazawakenji03,宮沢賢治,みやざわけんじ,北海道・東北,岩手,知性派,進化Lv3,レア
ill_321_akitakomachichan01,アキタコマチちゃん,あきたこまちちゃん,北海道・東北,秋田,飲食,進化Lv1,レア
ill_322_akitakomachichan02,アキタコマチちゃん,あきたこまちちゃん,北海道・東北,秋田,飲食,進化Lv2,レア
ill_323_akitakomachichan03,アキタコマチちゃん,あきたこまちちゃん,北海道・東北,秋田,飲食,進化Lv3,レア
ill_381_naoekanetsugu01,直江兼続,なおえかねつぐ,北海道・東北,山形,武人,進化Lv1,レア
ill_382_naoekanetsugu02,直江兼続,なおえかねつぐ,北海道・東北,山形,武人,進化Lv2,レア
ill_383_naoekanetsugu03,直江兼続,なおえかねつぐ,北海道・東北,山形,武人,進化Lv3,レア
ill_441_hinatanaiki01,日向内記,ひなたないき,北海道・東北,福島,武人,進化Lv1,レア
ill_442_hinatanaiki02,日向内記,ひなたないき,北海道・東北,福島,武人,進化Lv2,レア
ill_443_hinatanaiki03,日向内記,ひなたないき,北海道・東北,福島,武人,進化Lv3,レア
ill_531_kodama01,木霊,こだま,無所属,無所属,神秘,進化Lv1,レア
ill_532_kodama02,木霊,こだま,無所属,無所属,神秘,進化Lv2,レア
ill_533_kodama03,木霊,こだま,無所属,無所属,神秘,進化Lv3,レア
ill_601_nasunoyoichi01,那須与一,なすのよいち,関東,栃木,武人,進化Lv1,レア
ill_602_nasunoyoichi02,那須与一,なすのよいち,関東,栃木,武人,進化Lv2,レア
ill_603_nasunoyoichi03,那須与一,なすのよいち,関東,栃木,武人,進化Lv3,レア
ill_721_sasakisukesaburou01,佐々木助三郎,ささきすけさぶろう,関東,茨城,武人,進化Lv1,レア
ill_722_sasakisukesaburou02,佐々木助三郎,ささきすけさぶろう,関東,茨城,武人,進化Lv2,レア
ill_723_sasakisukesaburou03,佐々木助三郎,ささきすけさぶろう,関東,茨城,武人,進化Lv3,レア
ill_911_hikeshi01,火消し,ひけし,無所属,無所属,名物,進化Lv1,レア
ill_912_hikeshi02,火消し,ひけし,無所属,無所属,名物,進化Lv2,レア
ill_913_hikeshi03,火消し,ひけし,無所属,無所属,名物,進化Lv3,レア
ill_1001_houjouujiyasu01,北条氏康,ほうじょううじやす,関東,神奈川,武人,進化Lv1,レア
